IP,Protocols
185.159.156.144,IKEv2
149.88.103.53,IKEv2
185.159.158.167,IKEv1
149.22.80.109,IKEv2
149.40.58.146,IKEv2
149.88.30.88,IKEv2
146.70.147.114,IKEv2
169.150.218.65,IKEv2
169.150.218.21,IKEv2
138.199.55.33,IKEv2
62.169.136.213,IKEv2
79.135.105.60,IKEv2
138.199.7.250,IKEv2
62.169.136.231,IKEv2
79.135.104.99,IKEv2
79.127.185.165,IKEv2
212.8.243.7,IKEv2
149.40.62.56,IKEv2
62.169.136.253,IKEv2
138.199.6.179,IKEv2
217.138.216.130,IKEv2
154.47.16.81,IKEv2
149.88.27.233,IKEv2
185.159.156.128,IKEv2
62.169.136.188,IKEv2
185.159.158.74,IKEv2
185.159.158.26,IKEv2
79.135.104.59,IKEv2
169.150.218.55,IKEv2
185.177.124.206,IKEv2
188.214.158.34,IKEv2
62.169.136.124,IKEv2
149.102.226.237,IKEv2
185.159.158.219,IKEv2
62.169.136.241,IKEv2
79.135.104.103,IKEv2
185.159.158.194,IKEv2
185.159.158.187,IKEv1
37.0.12.226,IKEv2
146.70.8.2,IKEv2
185.159.156.114,IKEv2
93.190.140.80,IKEv2
138.199.22.103,IKEv2
149.88.103.161,IKEv2
95.173.205.159,IKEv2
185.212.111.98,IKEv2
79.127.254.92,IKEv2
149.102.244.102,IKEv2
149.102.244.97,IKEv2
79.135.104.72,IKEv2
62.169.136.130,IKEv2
149.22.91.161,IKEv2
180.149.229.130,IKEv2
146.70.142.18,IKEv2
193.148.16.2,IKEv2
185.159.156.161,IKEv2
62.169.136.221,IKEv2
74.118.126.200,IKEv2
62.169.136.214,IKEv2
149.88.18.233,IKEv2
149.40.62.26,IKEv2
151.243.141.166,IKEv2
103.108.231.162,IKEv2
185.159.156.86,IKEv2
185.159.156.138,IKEv2
185.159.158.209,IKEv2
74.118.126.220,IKEv2
217.79.104.1,IKEv2
62.169.136.197,IKEv2
185.159.156.181,IKEv2
37.19.205.145,IKEv2
185.183.33.11,IKEv2
185.159.158.244,IKEv2
185.159.158.208,IKEv2
149.102.224.53,IKEv2
146.70.14.19,IKEv2
169.150.196.83,IKEv2
185.236.200.242,IKEv2
212.8.248.176,IKEv2
185.159.158.251,IKEv2
149.22.84.144,IKEv2
62.169.136.62,IKEv2
62.169.136.80,IKEv2
79.135.104.87,IKEv2
217.23.3.76,IKEv2
185.185.50.91,IKEv2
74.118.126.116,IKEv2
195.181.163.1,IKEv2
79.135.104.93,IKEv2
45.151.45.4,IKEv2
185.165.240.23,IKEv2
185.185.134.146,IKEv2
95.173.205.129,IKEv2
146.70.84.2,IKEv2
185.132.176.124,IKEv2
74.118.126.136,IKEv2
185.159.156.143,IKEv2
62.169.136.223,IKEv2
149.88.17.129,IKEv2
79.135.104.73,IKEv2
149.22.88.129,IKEv2
185.159.158.163,IKEv1
149.22.80.114,IKEv2
185.159.158.236,IKEv2
80.79.7.101,IKEv2
62.169.136.174,IKEv1
188.215.235.82,IKEv2
149.34.244.129,IKEv2
149.34.244.164,IKEv2
185.159.156.180,IKEv2
138.199.52.193,IKEv2
185.159.156.159,IKEv2
62.169.136.126,IKEv2
169.150.218.75,IKEv2
185.183.34.41,IKEv2
95.173.217.71,IKEv2
194.126.177.9,IKEv2
149.22.81.1,IKEv2
185.177.125.196,IKEv2
149.102.242.103,IKEv2
89.38.97.196,IKEv2
62.169.136.96,IKEv2
185.76.11.17,IKEv2
146.70.48.2,IKEv2
74.118.126.32,IKEv2
74.118.126.48,IKEv2
103.216.221.68,IKEv2
185.159.158.220,IKEv1
