IP,Protocols
149.88.30.88,IKE
79.127.185.165,IKE
188.214.158.34,IKE
74.118.126.200,IKE
149.88.18.233,IKE
74.118.126.220,IKE
149.102.224.53,IKE
74.118.126.116,IKE
74.118.126.136,IKE
95.173.217.71,IKE
194.126.177.9,IKE
74.118.126.32,IKE
74.118.126.48,IKE
74.118.126.208,IKE
193.9.39.1,IKE
74.118.126.156,IKE
74.118.126.2,IKE
45.83.146.1,IKE
79.135.105.188,IKE
74.118.126.240,IKE
74.118.126.172,IKE
45.83.125.1,IKE
74.118.126.72,IKE
74.118.126.108,IKE
84.17.63.17,IKE
156.146.45.139,IKE
74.118.126.188,IKE
74.118.126.180,IKE
74.118.126.224,IKE
74.118.126.104,IKE
45.83.145.1,IKE
138.199.50.134,IKE
193.9.38.1,IKE
185.159.157.176,IKE
79.135.105.80,IKE
74.118.126.204,IKE
45.128.134.199,IKE
89.45.224.2,IKE
138.199.50.139,IKE
45.83.136.1,IKE
74.118.126.216,IKE
79.127.185.251,IKE
45.83.139.1,IKE
84.252.113.9,IKE
74.118.126.16,IKE
138.199.50.129,IKE
146.70.136.35,IKE
79.135.105.184,IKE
74.118.126.56,IKE
79.127.185.161,IKE
74.118.126.144,IKE
89.187.171.248,IKE
185.159.156.90,IKE
74.118.126.184,IKE
74.118.126.132,IKE
74.118.126.112,IKE
178.249.214.65,IKE
74.118.126.96,IKE
74.118.126.24,IKE
74.118.126.64,IKE
138.199.60.89,IKE
74.118.126.60,IKE
95.173.217.65,IKE
79.127.185.162,IKE
74.118.126.212,IKE
149.22.88.134,IKE
36.50.238.1,IKE
74.118.126.152,IKE
74.118.126.4,IKE
94.190.195.24,IKE
74.118.126.8,IKE
79.135.105.204,IKE
74.118.126.228,IKE
45.83.124.1,IKE
79.135.105.88,IKE
45.83.127.1,IKE
