IP,Protocols
216.131.75.36,"IKEv2,OPENVPN"
207.204.229.44,"IKEv2,OPENVPN"
64.145.76.18,"IKEv2,OPENVPN"
216.151.183.57,"IKEv2,OPENVPN"
198.181.163.24,"IKEv2,OPENVPN"
205.185.192.59,"IKEv2,OPENVPN"
185.147.213.44,"IKEv2,OPENVPN"
185.147.212.208,"IKEv2,OPENVPN"
199.33.69.31,"IKEv2,OPENVPN"
36.255.206.70,"IKEv2,OPENVPN"
216.151.180.17,"IKEv2,OPENVPN"
146.70.203.105,"IKEv2,OPENVPN"
173.255.165.37,"IKEv2,OPENVPN"
194.127.173.75,"IKEv2,OPENVPN"
209.234.253.23,"IKEv2,OPENVPN"
216.151.180.133,"IKEv2,OPENVPN"
69.16.145.152,"IKEv2,OPENVPN"
185.147.215.35,"IKEv2,OPENVPN"
173.255.160.126,"IKEv2,OPENVPN"
108.171.108.15,"IKEv2,OPENVPN"
216.131.107.66,"IKEv2,OPENVPN"
216.131.117.82,"IKEv2,OPENVPN"
216.169.140.185,"IKEv2,OPENVPN"
36.255.205.6,"IKEv2,OPENVPN"
216.151.180.229,"IKEv2,OPENVPN"
103.62.50.228,"IKEv2,OPENVPN"
173.255.161.38,"IKEv2,OPENVPN"
216.131.82.186,"IKEv2,OPENVPN"
178.175.140.85,"IKEv2,OPENVPN"
216.131.84.28,"IKEv2,OPENVPN"
216.131.75.60,"IKEv2,OPENVPN"
216.131.73.72,"IKEv2,OPENVPN"
216.169.132.79,"IKEv2,OPENVPN"
216.131.84.82,"IKEv2,OPENVPN"
176.67.80.183,"IKEv2,OPENVPN"
216.131.114.153,"IKEv2,OPENVPN"
173.245.203.23,"IKEv2,OPENVPN"
216.131.79.137,"IKEv2,OPENVPN"
103.209.254.120,"IKEv2,OPENVPN"
185.91.122.21,"IKEv2,OPENVPN"
185.91.123.9,"IKEv2,OPENVPN"
216.131.114.243,"IKEv2,OPENVPN"
216.131.77.179,"IKEv2,OPENVPN"
216.151.180.145,"IKEv2,OPENVPN"
216.151.183.165,"IKEv2,OPENVPN"
173.255.164.47,"IKEv2,OPENVPN"
103.209.255.5,"IKEv2,OPENVPN"
