IP,Protocols
103.209.253.17,"IKE,L2TP,OPENVPN"
103.209.255.169,"IKE,L2TP,OPENVPN"
36.255.204.195,"IKE,L2TP,OPENVPN"
80.246.28.10,"IKE,L2TP,OPENVPN"
103.209.255.23,"IKE,L2TP,OPENVPN"
216.131.68.31,"IKE,L2TP,OPENVPN"
209.107.196.16,"IKE,L2TP,OPENVPN"
176.67.85.203,"IKE,L2TP,OPENVPN"
173.255.174.42,"IKE,L2TP,OPENVPN"
108.171.110.66,"IKE,L2TP,OPENVPN"
173.245.211.35,"IKE,L2TP,OPENVPN"
36.255.204.131,"IKE,L2TP,OPENVPN"
199.33.68.48,"IKE,L2TP,OPENVPN"
205.185.193.163,"IKE,L2TP,OPENVPN"
108.171.105.69,"IKE,L2TP,OPENVPN"
185.147.215.201,"IKE,L2TP,OPENVPN"
216.131.109.145,"IKE,L2TP,OPENVPN"
108.171.106.209,"IKE,L2TP,OPENVPN"
216.151.191.133,"IKE,L2TP,OPENVPN"
216.131.105.66,"IKE,L2TP,OPENVPN"
176.67.85.133,"IKE,L2TP,OPENVPN"
69.16.157.91,"IKE,L2TP,OPENVPN"
205.185.214.6,"IKE,L2TP,OPENVPN"
205.185.209.22,"IKE,L2TP,OPENVPN"
216.131.115.214,"IKE,L2TP,OPENVPN"
216.131.110.157,"IKE,L2TP,OPENVPN"
103.209.255.139,"IKE,L2TP,OPENVPN"
104.36.180.74,"IKE,L2TP,OPENVPN"
108.171.111.78,"IKE,L2TP,OPENVPN"
205.185.218.26,"IKE,L2TP,OPENVPN"
173.255.173.29,"IKE,L2TP,OPENVPN"
108.171.105.139,"IKE,L2TP,OPENVPN"
216.131.108.35,"IKE,L2TP,OPENVPN"
176.67.84.59,"IKE,L2TP,OPENVPN"
185.147.215.23,"IKE,L2TP,OPENVPN"
108.171.110.201,"IKE,L2TP,OPENVPN"
103.209.254.90,"IKE,L2TP,OPENVPN"
185.147.212.104,"IKE,L2TP,OPENVPN"
185.174.159.145,"IKE,L2TP,OPENVPN"
69.16.147.23,"IKE,L2TP,OPENVPN"
36.255.204.163,"IKE,L2TP,OPENVPN"
185.108.107.12,"IKE,L2TP,OPENVPN"
216.131.88.69,"IKE,L2TP,OPENVPN"
209.107.216.145,"IKE,L2TP,OPENVPN"
108.171.106.139,"IKE,L2TP,OPENVPN"
