IP,Protocols
83.136.250.41,IKEv2
92.243.65.42,IKEv2
37.235.49.149,IKEv2
152.42.227.232,IKEv2
193.42.108.97,IKEv2
158.255.211.250,IKEv2
159.89.27.164,IKEv2
185.108.129.140,IKEv2
23.106.248.250,IKEv2
83.136.249.170,IKEv2
151.236.6.55,IKEv2
136.244.67.168,"IKEv2,OPENVPN"
94.237.39.163,IKEv2
151.236.29.168,IKEv1
83.136.250.154,IKEv2
185.123.100.46,IKEv2
94.237.125.181,IKEv2
151.236.6.91,IKEv2
185.193.51.31,IKEv2
165.22.210.29,IKEv2
185.108.129.179,IKEv2
188.226.186.10,IKEv2
206.81.21.117,IKEv2
128.199.81.69,IKEv2
152.44.32.189,IKEv2
157.230.153.126,IKEv2
165.232.136.147,IKEv2
151.236.20.102,IKEv2
94.237.48.62,IKEv2
192.71.211.149,IKEv2
185.108.129.94,IKEv2
94.237.51.222,IKEv2
206.189.46.143,IKEv2
83.136.251.70,IKEv2
89.46.236.187,IKEv2
46.183.184.243,IKEv2
64.227.135.178,IKEv2
83.243.121.12,IKEv2
129.232.222.81,IKEv2
192.71.211.68,IKEv2
94.75.206.227,IKEv2
207.244.71.77,IKEv2
185.123.101.17,IKEv2
142.93.221.189,IKEv2
185.70.198.113,IKEv2
207.244.71.72,IKEv2
70.34.219.236,IKEv2
158.255.212.188,IKEv2
94.237.42.178,IKEv2
217.12.210.116,IKEv2
139.59.8.213,IKEv2
83.136.249.211,IKEv2
151.236.8.234,IKEv2
64.23.220.154,IKEv2
89.46.237.157,IKEv2
192.121.170.2,IKEv2
94.237.119.90,IKEv2
139.59.73.80,IKEv2
37.235.56.129,IKEv1
46.101.175.249,IKEv2
83.136.248.98,IKEv2
46.231.204.83,IKEv2
91.132.92.172,IKEv1
51.158.201.253,IKEv1
45.32.46.131,IKEv2
159.89.171.205,IKEv2
209.50.49.23,IKEv2
149.154.152.185,IKEv1
188.166.246.118,IKEv2
152.44.34.238,IKEv2
94.237.117.138,IKEv2
194.71.227.182,IKEv2
51.158.202.58,IKEv2
185.108.129.111,IKEv2
165.232.77.157,IKEv1
94.75.206.229,IKEv2
66.135.17.3,IKEv2
83.136.250.215,IKEv2
165.232.77.158,IKEv2
192.121.47.39,IKEv2
107.191.63.242,IKEv2
192.71.166.58,IKEv2
95.211.60.8,IKEv2
192.71.211.239,IKEv2
83.136.249.142,IKEv2
185.108.129.39,IKEv2
151.236.6.181,IKEv2
151.115.98.17,IKEv2
94.237.119.83,IKEv2
94.75.206.232,IKEv2
137.184.41.149,IKEv2
83.136.248.162,IKEv2
158.255.209.143,IKEv2
185.108.129.109,IKEv2
92.243.64.147,IKEv2
80.240.128.16,IKEv2
83.136.249.0,IKEv2
