IP,Protocols
149.88.18.8,"IKEv1,IKEv2"
95.153.32.102,"IKEv1,IKEv2"
103.107.197.172,"IKEv1,IKEv2"
172.94.119.11,"IKEv1,IKEv2"
5.254.23.68,"IKEv1,IKEv2"
169.150.205.136,"IKEv1,IKEv2"
149.40.48.41,"IKEv1,IKEv2"
104.243.253.37,"IKEv1,IKEv2"
172.111.208.101,"IKEv1,IKEv2"
172.94.113.198,"IKEv1,IKEv2"
172.94.20.98,"IKEv1,IKEv2"
192.253.250.37,"IKEv1,IKEv2"
138.199.43.4,"IKEv1,IKEv2"
149.50.217.139,"IKEv1,IKEv2"
172.94.119.10,"IKEv1,IKEv2"
203.23.178.179,"IKEv1,IKEv2"
172.111.181.8,"IKEv1,IKEv2"
172.111.181.6,"IKEv1,IKEv2"
172.111.220.5,"IKEv1,IKEv2"
172.111.152.196,"IKEv1,IKEv2"
45.74.62.10,"IKEv1,IKEv2"
5.254.15.106,"IKEv1,IKEv2"
172.94.27.2,"IKEv1,IKEv2"
108.181.50.76,"IKEv1,IKEv2"
172.94.38.11,"IKEv1,IKEv2"
146.70.181.231,"IKEv1,IKEv2"
149.50.222.4,"IKEv1,IKEv2"
149.34.253.94,"IKEv1,IKEv2"
172.111.216.246,"IKEv1,IKEv2"
172.94.84.166,"IKEv1,IKEv2"
206.123.159.10,"IKEv1,IKEv2"
172.94.113.69,"IKEv1,IKEv2"
103.46.140.103,"IKEv1,IKEv2"
45.134.213.17,"IKEv1,IKEv2"
206.123.137.6,"IKEv1,IKEv2"
45.115.25.11,"IKEv1,IKEv2"
45.74.51.40,"IKEv1,IKEv2"
138.199.43.8,"IKEv1,IKEv2"
172.111.197.8,"IKEv1,IKEv2"
172.111.220.37,"IKEv1,IKEv2"
45.74.51.39,"IKEv1,IKEv2"
104.250.183.6,"IKEv1,IKEv2"
149.102.238.148,"IKEv1,IKEv2"
172.111.206.101,IKEv1
45.134.140.234,"IKEv1,IKEv2"
172.111.247.2,"IKEv1,IKEv2"
172.94.24.7,"IKEv1,IKEv2"
206.123.137.3,"IKEv1,IKEv2"
172.94.78.38,"IKEv1,IKEv2"
206.123.159.9,"IKEv1,IKEv2"
103.46.140.101,"IKEv1,IKEv2"
95.153.32.109,"IKEv1,IKEv2"
172.111.204.130,"IKEv1,IKEv2"
172.94.13.12,"IKEv1,IKEv2"
154.47.27.68,"IKEv1,IKEv2"
45.134.213.15,"IKEv1,IKEv2"
85.208.3.109,"IKEv1,IKEv2"
5.254.23.73,"IKEv1,IKEv2"
138.199.43.9,"IKEv1,IKEv2"
172.111.183.165,"IKEv1,IKEv2"
172.94.115.37,"IKEv1,IKEv2"
149.40.59.79,"IKEv1,IKEv2"
37.120.138.11,"IKEv1,IKEv2"
172.111.152.170,"IKEv1,IKEv2"
206.123.153.42,"IKEv1,IKEv2"
149.34.252.3,"IKEv1,IKEv2"
156.146.51.163,"IKEv1,IKEv2"
149.40.52.197,"IKEv1,IKEv2"
154.47.27.75,"IKEv1,IKEv2"
154.47.27.100,"IKEv1,IKEv2"
149.34.253.95,"IKEv1,IKEv2"
5.254.106.13,"IKEv1,IKEv2"
107.175.196.103,"IKEv1,IKEv2"
172.111.131.248,"IKEv1,IKEv2"
172.111.152.168,"IKEv1,IKEv2"
37.120.138.10,"IKEv1,IKEv2"
45.74.63.6,"IKEv1,IKEv2"
172.94.41.11,"IKEv1,IKEv2"
172.94.120.7,"IKEv1,IKEv2"
192.253.250.38,"IKEv1,IKEv2"
138.199.43.12,"IKEv1,IKEv2"
149.102.238.133,"IKEv1,IKEv2"
217.148.140.137,"IKEv1,IKEv2"
172.94.78.3,"IKEv1,IKEv2"
149.88.18.15,"IKEv1,IKEv2"
45.74.55.7,"IKEv1,IKEv2"
149.34.252.10,"IKEv1,IKEv2"
104.243.253.39,"IKEv1,IKEv2"
103.46.140.102,"IKEv1,IKEv2"
