IP,Protocols
104.36.181.102,"IKEv2,OPENVPN"
176.67.82.37,"IKEv2,OPENVPN"
185.108.107.86,"IKEv2,OPENVPN"
205.185.209.19,"IKEv2,OPENVPN"
103.209.253.14,"IKEv2,OPENVPN"
204.188.246.134,"IKEv2,OPENVPN"
185.147.213.4,"IKEv2,OPENVPN"
178.175.140.78,"IKEv2,OPENVPN"
104.36.177.133,"IKEv2,OPENVPN"
173.245.209.154,"IKEv2,OPENVPN"
173.245.202.50,"IKEv2,OPENVPN"
216.131.83.200,"IKEv2,OPENVPN"
216.151.184.190,"IKEv2,OPENVPN"
108.171.107.66,"IKEv2,OPENVPN"
216.131.108.206,"IKEv2,OPENVPN"
173.245.209.124,"IKEv2,OPENVPN"
216.131.79.56,"IKEv2,OPENVPN"
194.88.103.231,"IKEv2,OPENVPN"
98.96.253.224,"IKEv2,OPENVPN"
185.91.123.102,"IKEv2,OPENVPN"
209.234.253.74,"IKEv2,OPENVPN"
78.110.173.155,"IKEv2,OPENVPN"
173.255.161.5,"IKEv1,OPENVPN"
216.131.116.170,"IKEv2,OPENVPN"
216.131.74.118,"IKEv2,OPENVPN"
216.131.72.32,"IKEv2,OPENVPN"
216.169.136.120,"IKEv2,OPENVPN"
216.131.78.32,"IKEv2,OPENVPN"
216.131.108.49,"IKEv2,OPENVPN"
185.108.105.170,"IKEv2,OPENVPN"
64.145.90.84,"IKEv2,OPENVPN"
205.185.222.155,"IKEv2,OPENVPN"
108.171.106.78,"IKEv2,OPENVPN"
64.145.94.91,"IKEv2,OPENVPN"
78.110.173.166,"IKEv2,OPENVPN"
216.151.184.178,"IKEv2,OPENVPN"
173.255.170.106,"IKEv2,OPENVPN"
103.209.254.57,"IKEv2,OPENVPN"
216.131.108.2,"IKEv2,OPENVPN"
209.107.216.194,"IKEv2,OPENVPN"
216.169.140.158,"IKEv2,OPENVPN"
108.171.108.168,"IKEv2,OPENVPN"
216.131.114.186,"IKEv2,OPENVPN"
173.255.164.188,"IKEv2,OPENVPN"
185.91.122.120,"IKEv2,OPENVPN"
216.131.83.33,"IKEv2,OPENVPN"
216.151.183.132,"IKEv2,OPENVPN"
192.200.158.52,"IKEv2,OPENVPN"
103.209.252.33,"IKEv2,OPENVPN"
104.36.177.85,"IKEv2,OPENVPN"
156.59.215.79,"IKEv2,OPENVPN"
192.200.149.91,"IKEv2,OPENVPN"
198.181.163.21,"IKEv2,OPENVPN"
205.185.192.8,"IKEv2,OPENVPN"
216.131.120.131,"IKEv2,OPENVPN"
216.131.122.68,"IKEv2,OPENVPN"
216.131.82.135,"IKEv2,OPENVPN"
108.171.103.241,"IKEv2,OPENVPN"
104.36.176.164,"IKEv2,OPENVPN"
176.67.82.184,"IKEv2,OPENVPN"
207.204.229.35,"IKEv2,OPENVPN"
216.131.84.219,"IKEv2,OPENVPN"
216.131.117.151,"IKEv2,OPENVPN"
108.171.111.65,"IKEv2,OPENVPN"
205.185.199.149,"IKEv2,OPENVPN"
173.255.164.212,"IKEv2,OPENVPN"
103.209.254.75,"IKEv2,OPENVPN"
69.16.145.119,"IKEv2,OPENVPN"
69.16.157.148,"IKEv2,OPENVPN"
216.131.122.224,"IKEv2,OPENVPN"
173.255.160.33,"IKEv2,OPENVPN"
173.255.164.74,"IKEv2,OPENVPN"
216.131.120.95,"IKEv2,OPENVPN"
38.153.100.32,"IKEv2,OPENVPN"
216.131.122.146,"IKEv2,OPENVPN"
205.185.199.89,"IKEv1,OPENVPN"
173.255.161.47,"IKEv2,OPENVPN"
216.131.83.164,"IKEv2,OPENVPN"
108.171.103.75,"IKEv2,OPENVPN"
216.131.75.94,"IKEv2,OPENVPN"
216.131.76.147,"IKEv2,OPENVPN"
108.171.109.14,"IKEv2,OPENVPN"
108.171.105.14,"IKEv2,OPENVPN"
216.131.118.5,"IKEv2,OPENVPN"
103.209.252.57,"IKEv2,OPENVPN"
176.67.83.17,"IKEv2,OPENVPN"
205.185.199.71,"IKEv2,OPENVPN"
192.200.148.138,"IKEv2,OPENVPN"
216.131.75.75,"IKEv2,OPENVPN"
108.171.105.194,"IKEv2,OPENVPN"
108.171.106.72,"IKEv2,OPENVPN"
216.131.116.80,"IKEv2,OPENVPN"
146.70.203.119,"IKEv2,OPENVPN"
216.131.106.20,"IKEv2,OPENVPN"
216.131.112.86,"IKEv2,OPENVPN"
216.131.110.142,"IKEv2,OPENVPN"
173.255.164.218,"IKEv2,OPENVPN"
116.90.74.195,"IKEv2,OPENVPN"
217.138.202.37,"IKEv2,OPENVPN"
173.255.170.100,"IKEv2,OPENVPN"
108.171.108.54,"IKEv2,OPENVPN"
108.171.103.3,"IKEv2,OPENVPN"
173.255.172.28,"IKEv2,OPENVPN"
205.185.214.3,"IKEv2,OPENVPN"
207.204.248.181,"IKEv2,OPENVPN"
216.131.106.44,"IKEv2,OPENVPN"
216.131.114.132,"IKEv2,OPENVPN"
192.200.149.217,"IKEv2,OPENVPN"
209.234.248.142,"IKEv2,OPENVPN"
173.255.172.52,"IKEv2,OPENVPN"
103.62.50.246,"IKEv2,OPENVPN"
207.204.229.5,"IKEv2,OPENVPN"
207.204.248.13,"IKEv2,OPENVPN"
216.151.184.130,"IKEv2,OPENVPN"
192.200.158.54,"IKEv2,OPENVPN"
216.151.184.208,"IKEv2,OPENVPN"
173.255.170.76,"IKEv2,OPENVPN"
207.204.249.74,"IKEv2,OPENVPN"
216.131.74.82,"IKEv2,OPENVPN"
216.151.184.91,"IKEv2,OPENVPN"
216.131.74.76,"IKEv2,OPENVPN"
216.131.74.94,"IKEv2,OPENVPN"
173.255.170.172,"IKEv2,OPENVPN"
108.171.108.138,"IKEv2,OPENVPN"
185.147.214.140,"IKEv2,OPENVPN"
216.131.105.26,"IKEv2,OPENVPN"
156.59.233.141,"IKEv2,OPENVPN"
185.91.122.54,"IKEv2,OPENVPN"
205.185.193.2,"IKEv2,OPENVPN"
216.131.83.194,"IKEv2,OPENVPN"
64.145.76.123,"IKEv2,OPENVPN"
173.255.164.80,"IKEv2,OPENVPN"
208.131.139.106,"IKEv2,OPENVPN"
216.131.104.160,"IKEv2,OPENVPN"
216.131.79.32,"IKEv2,OPENVPN"
209.234.253.140,"IKEv2,OPENVPN"
216.131.114.42,"IKEv2,OPENVPN"
