IP,Protocols
185.203.218.110,IKEv2
143.244.61.238,IKEv2
176.100.43.28,IKEv2
107.174.17.243,IKEv2
178.249.212.5,IKEv2
193.29.61.12,IKEv2
194.107.160.47,IKEv2
185.244.214.237,IKEv2
93.114.61.78,IKEv2
178.249.212.151,IKEv2
83.229.26.44,IKEv2
185.81.124.40,IKEv2
138.199.16.47,IKEv2
178.239.162.207,IKEv2
217.216.98.32,IKEv2
194.49.52.32,IKEv2
64.44.140.43,IKEv2
45.12.220.203,IKEv2
212.102.51.212,IKEv2
85.190.232.114,IKEv2
89.238.154.11,IKEv2
46.183.110.240,IKEv2
172.93.177.211,IKEv2
181.214.226.52,IKEv2
103.137.12.211,IKEv2
185.109.168.131,IKEv2
212.15.84.17,IKEv2
83.136.182.158,IKEv2
2.58.46.235,IKEv2
193.29.61.92,IKEv2
178.249.211.7,IKEv2
193.29.61.168,IKEv2
192.154.196.71,IKEv2
45.155.41.44,IKEv2
181.215.169.146,IKEv2
146.70.75.163,IKEv2
185.111.157.62,IKEv2
185.247.70.99,IKEv2
194.35.233.54,IKEv2
185.153.176.183,IKEv2
62.182.99.48,IKEv2
37.19.213.82,IKEv2
213.232.87.65,IKEv2
45.90.222.106,IKEv2
212.15.87.37,IKEv2
89.187.183.182,IKEv2
194.107.160.31,IKEv2
89.40.183.24,IKEv2
93.114.61.129,IKEv2
92.119.17.174,IKEv2
82.102.28.83,IKEv2
2.58.74.237,IKEv2
83.136.182.122,IKEv1
217.138.199.11,IKEv2
152.89.207.138,IKEv2
91.196.220.28,IKEv2
185.81.125.45,IKEv2
91.250.240.66,IKEv2
86.62.28.177,IKEv2
149.34.244.210,IKEv2
217.146.92.231,IKEv2
87.249.135.65,IKEv2
194.35.233.175,IKEv2
138.199.47.175,IKEv2
46.183.110.2,IKEv2
202.49.186.98,IKEv2
212.32.92.22,IKEv2
178.159.3.184,IKEv2
45.90.222.253,IKEv2
89.37.173.142,IKEv2
203.10.99.67,IKEv2
146.70.90.3,IKEv2
185.169.235.20,IKEv2
212.23.215.19,IKEv2
185.216.33.8,IKEv2
193.228.206.146,IKEv2
185.211.32.176,IKEv2
212.102.47.71,IKEv2
94.156.148.189,IKEv2
2.58.74.208,IKEv2
89.46.10.86,IKEv2
185.247.71.11,IKEv2
181.214.226.36,IKEv2
93.114.61.34,IKEv2
169.150.204.13,IKEv2
195.206.183.111,IKEv2
37.46.116.208,IKEv2
103.50.33.94,IKEv2
185.153.179.120,IKEv2
194.233.96.241,IKEv2
109.70.150.195,IKEv2
217.114.38.154,IKEv2
37.120.156.83,IKEv2
86.62.30.86,IKEv2
212.15.86.109,IKEv2
152.89.207.18,IKEv2
64.44.80.51,IKEv2
217.216.98.50,IKEv2
45.85.145.115,IKEv2
62.3.36.77,IKEv2
181.214.70.114,IKEv2
85.190.232.130,IKEv2
193.203.13.180,IKEv2
45.12.220.51,IKEv2
82.102.16.131,IKEv2
45.82.33.91,IKEv2
45.248.78.26,IKEv2
154.16.157.20,IKEv2
84.17.57.54,IKEv2
202.49.186.14,IKEv2
109.70.150.235,IKEv2
93.114.62.21,IKEv2
109.70.150.199,IKEv2
185.137.39.32,IKEv2
5.182.32.124,IKEv2
212.102.50.119,IKEv2
89.46.9.102,IKEv2
188.212.154.130,IKEv2
145.79.196.168,IKEv2
45.12.223.227,IKEv2
185.161.202.150,IKEv2
185.99.252.211,IKEv2
138.199.16.52,IKEv2
37.19.212.7,IKEv2
86.104.249.221,IKEv2
5.180.62.175,IKEv2
212.15.80.162,IKEv2
94.140.11.13,IKEv1
194.35.232.5,IKEv2
193.29.61.98,IKEv2
93.114.61.45,IKEv2
62.182.99.144,IKEv2
84.17.44.146,IKEv2
192.145.116.100,IKEv2
185.7.34.144,IKEv2
103.214.47.122,IKEv2
116.90.74.107,IKEv2
185.229.59.116,IKEv2
45.10.157.128,IKEv2
178.175.141.209,IKEv2
203.27.106.163,IKEv2
194.127.172.79,IKEv2
217.114.38.26,IKEv2
194.180.179.36,IKEv2
185.203.219.118,IKEv2
62.182.99.254,IKEv2
145.79.196.25,IKEv2
212.23.215.6,IKEv2
185.255.130.125,IKEv2
145.79.197.76,IKEv2
2.56.190.101,IKEv2
37.19.213.27,IKEv2
95.214.115.3,IKEv2
202.49.186.74,IKEv2
109.69.110.144,IKEv2
193.228.206.230,IKEv2
193.160.245.154,IKEv2
144.48.37.35,IKEv2
93.114.63.221,IKEv2
103.1.212.195,IKEv2
213.232.87.212,IKEv2
5.101.143.115,IKEv2
213.152.188.3,IKEv2
217.138.218.179,IKEv2
138.199.52.116,IKEv2
45.88.190.112,IKEv2
193.176.127.121,IKEv2
103.137.12.139,IKEv2
138.199.16.77,IKEv2
185.172.52.122,IKEv2
217.217.116.56,IKEv2
155.133.17.38,IKEv2
192.145.118.120,IKEv2
178.239.162.251,IKEv2
46.183.109.198,IKEv2
85.190.232.122,IKEv2
194.35.233.122,IKEv2
45.134.224.56,IKEv2
93.114.61.153,IKEv2
146.70.22.107,IKEv2
85.190.232.148,IKEv2
143.244.41.8,IKEv2
194.233.96.179,IKEv2
89.46.9.118,IKEv2
185.202.221.134,IKEv2
212.15.80.160,IKEv2
212.15.81.150,IKEv2
217.216.98.38,IKEv2
45.95.163.1,IKEv2
192.145.119.6,IKEv2
194.116.208.16,IKEv2
194.35.233.113,IKEv2
217.216.124.129,IKEv2
92.119.17.159,IKEv2
91.132.137.107,IKEv2
81.17.121.11,IKEv2
217.114.38.58,IKEv2
64.238.204.8,IKEv2
139.28.218.211,IKEv2
84.247.0.18,IKEv2
185.247.70.67,IKEv2
145.79.198.109,IKEv2
87.120.102.195,IKEv2
217.216.98.112,IKEv2
77.243.86.93,IKEv2
185.203.218.132,IKEv2
217.217.116.119,IKEv2
212.102.44.35,IKEv2
37.19.212.112,IKEv2
5.181.234.91,IKEv2
45.83.89.211,IKEv2
185.187.243.53,IKEv2
194.34.235.183,IKEv2
185.202.221.128,IKEv2
217.138.197.67,IKEv2
217.216.113.12,IKEv2
37.19.212.202,IKEv2
45.144.114.36,IKEv2
192.145.116.156,IKEv2
45.152.47.26,IKEv2
212.15.86.37,IKEv2
155.133.15.9,IKEv2
146.70.71.35,IKEv2
45.83.91.235,IKEv2
217.138.202.139,IKEv2
181.214.151.34,IKEv2
194.107.162.20,IKEv2
147.93.215.29,IKEv2
194.110.85.0,IKEv2
45.150.175.10,IKEv2
185.190.141.3,IKEv2
212.102.40.50,IKEv2
91.132.138.228,IKEv2
217.138.207.171,IKEv2
103.107.196.163,IKEv2
84.17.35.226,IKEv2
83.136.182.110,IKEv2
212.102.51.200,IKEv2
212.102.47.47,IKEv2
85.202.81.149,IKEv2
93.114.61.164,IKEv2
192.166.247.156,IKEv2
82.102.19.123,IKEv2
146.19.88.57,IKEv2
192.166.247.164,IKEv2
37.19.212.22,IKEv2
185.203.218.158,IKEv2
5.253.115.109,IKEv2
45.150.172.26,IKEv2
62.182.99.90,IKEv2
103.214.47.134,IKEv2
212.32.85.21,IKEv2
138.199.16.97,IKEv2
178.239.173.179,IKEv2
146.70.237.35,IKEv2
217.114.38.170,IKEv2
156.146.35.75,IKEv2
192.166.247.168,IKEv2
84.17.36.145,IKEv2
149.34.253.194,IKEv2
185.220.70.235,IKEv2
79.127.139.111,IKEv2
212.102.45.105,IKEv2
149.22.80.178,IKEv2
94.156.148.237,IKEv2
62.182.99.226,IKEv2
185.202.221.140,IKEv2
192.166.246.112,IKEv2
176.53.178.3,IKEv2
77.243.87.29,IKEv2
185.214.98.219,IKEv2
37.19.213.72,IKEv2
192.145.119.114,IKEv2
213.232.87.175,IKEv2
146.70.80.179,IKEv2
178.239.161.87,IKEv2
37.19.212.87,IKEv2
139.28.216.251,IKEv2
169.150.232.150,IKEv2
89.46.11.140,IKEv2
217.216.98.28,IKEv2
185.65.50.17,IKEv2
138.199.52.11,IKEv2
2.56.190.38,IKEv2
212.15.84.6,IKEv2
94.46.185.115,IKEv2
185.214.97.130,IKEv2
216.183.125.182,IKEv2
146.70.148.43,IKEv2
93.118.43.26,IKEv2
185.187.168.108,IKEv2
5.101.136.147,IKEv2
37.46.116.160,IKEv2
45.83.91.243,IKEv2
146.70.105.235,IKEv2
86.104.249.188,IKEv2
194.35.233.104,IKEv2
194.49.52.107,IKEv2
185.247.70.227,IKEv2
95.174.66.227,IKEv2
181.215.172.180,IKEv2
185.190.141.129,IKEv2
45.150.172.170,IKEv2
217.114.38.130,IKEv2
185.187.243.15,IKEv2
217.114.38.247,IKEv2
45.10.157.116,IKEv2
81.17.122.1,IKEv2
85.190.232.136,IKEv2
217.138.192.43,IKEv2
185.203.218.136,IKEv2
84.17.44.149,IKEv2
91.205.107.220,IKEv2
93.118.43.10,IKEv2
146.70.148.11,IKEv2
2.58.74.163,IKEv1
217.138.199.35,IKEv2
194.107.160.35,IKEv2
185.250.39.7,IKEv2
91.205.107.117,IKEv2
181.214.151.162,IKEv2
212.15.87.49,IKEv2
93.114.62.217,IKEv1
89.46.8.20,IKEv2
92.119.19.138,IKEv1
185.93.0.116,IKEv2
202.49.186.26,IKEv2
192.145.117.142,IKEv2
83.229.26.12,IKEv2
217.217.116.9,IKEv2
147.93.215.33,IKEv2
193.160.246.156,IKEv2
138.199.47.130,IKEv2
103.1.212.67,IKEv2
212.97.69.3,IKEv2
153.92.40.104,IKEv2
213.152.188.27,IKEv2
181.214.151.210,IKEv2
91.205.106.150,IKEv2
145.79.196.1,IKEv2
185.255.130.163,IKEv2
85.190.232.144,IKEv2
89.46.10.159,IKEv2
194.35.233.178,IKEv2
146.70.90.27,IKEv2
94.156.149.240,IKEv2
193.203.12.201,IKEv2
176.53.176.3,IKEv2
62.182.99.220,IKEv2
213.232.87.135,IKEv2
194.35.235.38,IKEv2
45.134.212.137,IKEv2
84.39.151.27,IKEv2
185.225.234.13,IKEv2
