IP,Protocols
217.9.247.85,IKEv2
79.127.150.147,IKEv2
146.70.123.37,IKEv2
152.233.3.54,IKEv2
178.239.163.115,IKEv2
185.141.119.100,IKEv2
217.9.245.101,IKEv2
185.198.190.98,IKEv2
89.238.128.85,IKEv2
143.244.57.91,IKEv2
185.236.203.11,IKEv2
66.235.168.218,IKEv2
23.27.183.17,IKEv2
194.169.170.39,IKEv2
185.153.151.171,IKEv2
92.62.121.53,IKEv2
146.70.92.45,IKEv2
143.244.57.75,IKEv2
5.253.205.157,IKEv2
62.197.145.36,IKEv2
89.117.41.99,IKEv2
37.19.221.82,IKEv2
149.34.242.74,IKEv2
188.240.58.123,IKEv2
2.56.189.82,IKEv2
185.198.191.224,IKEv2
212.102.46.45,IKEv2
194.26.131.20,IKEv2
89.117.42.69,IKEv2
146.70.192.173,IKEv2
169.150.203.241,IKEv2
146.70.194.227,IKEv2
149.88.111.130,IKEv2
45.134.212.40,IKEv2
154.47.25.103,IKEv2
45.134.79.148,IKEv2
89.187.168.237,IKEv2
84.17.53.88,IKEv2
89.37.173.37,IKEv2
146.70.55.195,IKEv2
92.119.16.97,IKEv2
138.199.29.172,IKEv2
193.56.113.28,IKEv2
2.56.189.186,IKEv2
149.40.56.2,IKEv2
188.95.54.48,IKEv2
84.17.60.250,IKEv2
194.33.45.98,IKEv2
62.197.149.117,IKEv2
89.187.163.202,IKEv2
185.153.151.169,IKEv2
149.22.81.137,IKEv2
61.97.243.116,IKEv2
103.219.21.112,IKEv2
87.249.133.9,IKEv2
217.9.247.147,IKEv2
146.70.192.165,IKEv2
23.27.183.7,IKEv2
74.80.182.84,IKEv2
64.79.232.67,IKEv2
156.146.47.230,IKEv2
37.120.205.181,IKEv2
138.199.42.135,IKEv2
195.140.213.215,IKEv2
193.176.86.195,IKEv2
91.199.118.48,IKEv2
62.197.151.34,IKEv2
149.40.56.24,IKEv2
92.62.121.85,IKEv2
185.246.209.57,IKEv2
138.199.40.169,IKEv2
176.227.240.52,IKEv2
146.70.250.67,IKEv2
62.197.156.18,IKEv2
138.199.58.42,IKEv2
216.246.31.7,IKEv2
92.62.120.99,IKEv2
185.44.77.125,IKEv1
176.227.240.44,IKEv2
103.176.152.32,IKEv2
185.253.97.83,IKEv2
84.17.53.214,IKEv2
146.70.178.115,IKEv2
185.156.46.102,IKEv2
188.240.71.249,IKEv2
2.56.189.106,IKEv2
154.47.23.66,IKEv2
84.17.53.210,IKEv2
188.240.57.87,IKEv2
176.227.240.22,IKEv2
149.34.242.47,IKEv2
103.219.21.32,IKEv2
188.240.57.97,IKEv2
149.88.111.98,IKEv2
213.166.86.110,IKEv2
156.146.62.51,IKEv2
138.199.31.234,IKEv2
149.36.48.71,IKEv2
149.102.254.19,IKEv2
178.239.163.83,IKEv2
193.56.113.41,IKEv2
89.222.103.36,IKEv2
185.193.157.186,IKEv2
95.174.64.235,IKEv2
195.158.249.21,IKEv2
79.127.164.4,IKEv2
103.192.205.60,IKEv2
118.99.2.6,IKEv2
185.76.9.55,IKEv2
45.134.79.143,IKEv2
92.62.120.85,IKEv2
45.86.208.10,IKEv2
146.70.182.67,IKEv2
146.70.112.141,IKEv2
149.40.50.211,IKEv2
195.181.171.228,IKEv2
93.152.220.155,IKEv2
95.174.64.237,IKEv2
156.146.55.194,IKEv2
146.70.70.228,IKEv2
89.117.42.107,IKEv2
89.117.42.85,IKEv2
138.199.35.9,IKEv2
103.219.21.122,IKEv2
176.227.240.78,IKEv2
82.26.159.28,IKEv2
87.249.139.178,IKEv2
146.70.103.221,IKEv2
194.33.45.66,IKEv2
212.102.35.216,IKEv2
146.70.205.59,IKEv2
156.146.54.196,IKEv2
178.239.163.125,IKEv2
43.225.189.118,IKEv2
185.44.77.62,IKEv2
188.240.57.113,IKEv2
86.38.98.71,IKEv2
172.93.148.173,IKEv2
185.242.6.125,IKEv2
146.70.120.27,IKEv2
194.110.115.221,IKEv2
216.246.31.62,IKEv2
89.37.95.220,IKEv2
149.22.81.180,IKEv2
89.187.160.145,IKEv2
146.70.92.53,IKEv2
169.150.231.194,IKEv2
92.119.16.72,IKEv2
185.141.119.74,IKEv2
84.17.35.111,IKEv2
176.227.240.60,IKEv2
