IP,Protocols
149.88.111.98,IKE
92.62.120.85,IKE
80.246.31.76,IKE
62.197.157.46,IKE
62.197.147.67,IKE
146.70.120.35,IKE
62.197.146.22,IKE
169.150.227.4,IKE
62.197.158.41,IKE
156.146.55.196,IKE
146.70.194.243,IKE
217.9.250.101,IKE
92.62.121.163,IKE
188.241.178.229,IKE
45.139.252.18,IKE
146.70.160.243,IKE
62.197.152.69,IKE
23.27.110.51,IKE
62.197.149.105,IKE
89.117.41.51,IKE
144.48.38.19,IKE
146.70.92.37,IKE
217.9.247.18,IKE
176.227.241.68,IKE
138.199.62.4,IKE
62.197.153.39,IKE
194.169.168.24,IKE
87.249.133.19,IKE
185.153.151.149,IKE
92.62.122.18,IKE
95.173.223.113,IKE
138.199.58.33,IKE
185.174.159.109,IKE
216.246.31.102,IKE
62.197.145.20,IKE
37.120.207.181,IKE
193.228.56.139,IKE
62.197.150.51,IKE
92.62.123.83,IKE
93.118.41.110,IKE
185.152.64.178,IKE
212.119.33.20,IKE
193.19.204.86,IKE
23.27.109.35,IKE
79.127.229.169,IKE
188.95.54.40,IKE
62.197.144.50,IKE
83.97.115.34,IKE
193.56.113.13,IKE
185.196.0.23,IKE
