IP,Protocols
194.169.168.25,IKE
216.246.31.103,IKE
92.62.121.164,IKE
62.197.150.52,IKE
62.197.145.21,IKE
62.197.152.70,IKE
92.62.120.86,IKE
146.70.92.38,IKE
193.19.204.87,IKE
146.70.194.244,IKE
23.27.109.36,IKE
188.95.54.41,IKE
92.62.122.19,IKE
212.119.33.21,IKE
188.241.178.230,IKE
62.197.146.23,IKE
93.118.41.111,IKE
217.9.250.102,IKE
87.249.133.20,IKE
193.228.56.140,IKE
79.127.229.170,IKE
169.150.227.5,IKE
23.27.110.52,IKE
92.62.123.84,IKE
146.70.120.36,IKE
62.197.147.68,IKE
62.197.144.51,IKE
156.146.55.197,IKE
62.197.149.106,IKE
138.199.62.5,IKE
144.48.38.20,IKE
185.153.151.150,IKE
95.173.223.114,IKE
37.120.207.182,IKE
193.228.56.133,IKE
62.197.153.40,IKE
185.196.0.24,IKE
185.174.159.110,IKE
62.197.157.47,IKE
80.246.31.77,IKE
146.70.160.244,IKE
62.197.158.42,IKE
89.117.41.52,IKE
45.139.252.19,IKE
149.88.111.99,IKE
62.197.158.45,IKE
185.152.64.187,IKE
138.199.58.34,IKE
217.9.247.19,IKE
176.227.241.69,IKE
83.97.115.35,IKE
193.56.113.14,IKE
