IP,Protocols
209.127.13.158,"IKEv2,OPENVPN"
172.105.183.68,"IKEv2,OPENVPN"
207.244.89.176,"IKEv2,OPENVPN"
185.117.89.12,"IKEv2,OPENVPN"
193.108.58.62,"IKEv2,OPENVPN"
208.131.155.39,"IKEv2,OPENVPN"
167.99.195.48,"IKEv2,OPENVPN"
162.243.104.209,"IKEv2,OPENVPN"
165.227.85.125,"IKEv2,OPENVPN"
81.181.166.51,"IKEv2,OPENVPN"
198.72.126.102,"IKEv2,OPENVPN"
169.44.145.242,"IKEv2,OPENVPN"
169.44.145.244,"IKEv2,OPENVPN"
172.104.209.116,OPENVPN
212.47.237.169,"IKEv2,OPENVPN"
38.54.38.143,"IKEv2,OPENVPN"
51.15.247.13,"IKEv2,OPENVPN"
95.111.197.252,"IKEv2,OPENVPN"
207.244.71.43,"IKEv2,OPENVPN"
198.72.126.196,"IKEv2,OPENVPN"
142.93.97.22,"IKEv2,OPENVPN"
156.38.239.150,"IKEv2,OPENVPN"
143.198.187.43,"IKEv2,OPENVPN"
188.166.248.60,"IKEv2,OPENVPN"
81.171.5.229,"IKEv2,OPENVPN"
5.182.37.192,"IKEv2,OPENVPN"
139.162.217.214,"IKEv2,OPENVPN"
5.182.38.67,"IKEv2,OPENVPN"
2.58.241.46,"IKEv2,OPENVPN"
204.16.246.179,"IKEv1,IKEv2,L2TP,OPENVPN"
70.38.4.235,"IKEv2,OPENVPN"
204.16.246.180,"IKEv1,IKEv2,L2TP,OPENVPN"
180.149.231.18,"IKEv2,OPENVPN"
23.239.11.89,"IKEv2,L2TP,OPENVPN"
81.171.6.107,"IKEv2,OPENVPN"
180.149.231.21,"IKEv2,OPENVPN"
64.74.163.123,"IKEv2,OPENVPN"
38.15.146.110,"IKEv2,OPENVPN"
94.131.10.41,"IKEv2,OPENVPN"
95.216.209.2,"IKEv2,OPENVPN"
163.172.173.35,"IKEv1,OPENVPN"
204.16.246.181,"IKEv1,IKEv2,L2TP,OPENVPN"
172.233.154.51,"IKEv2,OPENVPN"
51.15.236.3,"IKEv2,OPENVPN"
167.99.40.101,"IKEv2,OPENVPN"
38.15.146.109,"IKEv2,OPENVPN"
2.58.241.44,"IKEv2,OPENVPN"
134.199.168.112,"IKEv2,OPENVPN"
172.236.205.66,"IKEv2,OPENVPN"
172.105.175.33,"IKEv2,OPENVPN"
185.175.58.195,"IKEv2,OPENVPN"
192.121.87.12,"IKEv2,OPENVPN"
38.54.118.211,"IKEv2,OPENVPN"
217.12.199.85,"IKEv2,OPENVPN"
