IP,Protocols
46.101.255.170,"IKEv2,OPENVPN"
157.245.215.238,"IKEv2,OPENVPN"
207.148.106.225,OPENVPN
167.179.81.171,"IKEv2,OPENVPN"
98.96.199.248,"IKEv2,OPENVPN"
140.82.24.75,"IKEv2,OPENVPN"
74.63.207.115,"IKEv2,OPENVPN"
207.246.73.190,"IKEv2,OPENVPN"
143.198.13.201,"IKEv2,OPENVPN"
144.202.18.122,"IKEv2,OPENVPN"
139.59.161.32,"IKEv2,OPENVPN"
159.203.92.69,OPENVPN
164.92.220.124,"IKEv2,OPENVPN"
139.59.146.105,"IKEv2,OPENVPN"
143.198.231.28,"IKEv2,OPENVPN"
159.223.103.121,"IKEv2,OPENVPN"
45.32.20.198,"IKEv2,OPENVPN"
165.227.153.218,"IKEv2,OPENVPN"
64.226.126.155,"IKEv2,OPENVPN"
149.28.245.9,"IKEv2,OPENVPN"
65.20.107.192,"IKEv2,OPENVPN"
144.202.77.94,"IKEv2,OPENVPN"
65.20.103.124,"IKEv2,OPENVPN"
64.23.234.96,"IKEv2,OPENVPN"
142.93.165.238,"IKEv2,OPENVPN"
98.98.197.167,"IKEv2,OPENVPN"
164.92.175.159,"IKEv2,OPENVPN"
216.238.107.223,"IKEv2,OPENVPN"
45.76.105.143,OPENVPN
149.248.60.94,"IKEv2,OPENVPN"
45.32.32.224,OPENVPN
199.247.11.63,"IKEv2,OPENVPN"
167.71.139.217,"IKEv2,OPENVPN"
209.38.253.224,"IKEv2,OPENVPN"
128.14.102.150,"IKEv2,OPENVPN"
209.38.240.50,"IKEv2,OPENVPN"
159.89.108.176,OPENVPN
137.184.145.252,"IKEv2,OPENVPN"
165.227.130.151,"IKEv2,OPENVPN"
104.248.241.26,"IKEv2,OPENVPN"
74.63.216.7,"IKEv2,OPENVPN"
139.180.194.175,"IKEv2,OPENVPN"
165.227.113.255,IKEv2
216.238.108.178,"IKEv2,OPENVPN"
173.199.70.108,OPENVPN
149.28.24.34,"IKEv2,OPENVPN"
178.62.16.12,"IKEv2,OPENVPN"
165.227.186.234,"IKEv2,OPENVPN"
138.197.100.8,"IKEv2,OPENVPN"
142.93.170.32,"IKEv2,OPENVPN"
188.166.152.51,OPENVPN
165.232.37.188,"IKEv2,OPENVPN"
198.13.33.241,"IKEv2,OPENVPN"
98.98.171.35,"IKEv2,OPENVPN"
217.69.2.53,"IKEv2,OPENVPN"
45.63.104.199,"IKEv2,OPENVPN"
45.77.28.80,IKEv2
165.22.77.102,"IKEv2,OPENVPN"
45.77.163.65,"IKEv2,OPENVPN"
45.77.61.82,OPENVPN
45.32.50.71,IKEv2
138.68.103.165,"IKEv2,OPENVPN"
143.198.232.201,"IKEv2,OPENVPN"
144.202.35.55,OPENVPN
208.76.223.47,"IKEv2,OPENVPN"
167.172.176.79,"IKEv2,OPENVPN"
136.244.115.212,"IKEv2,OPENVPN"
178.62.246.196,"IKEv2,OPENVPN"
161.35.72.206,"IKEv2,OPENVPN"
164.90.133.107,OPENVPN
45.32.31.121,"IKEv2,OPENVPN"
143.244.180.186,"IKEv2,OPENVPN"
216.238.121.210,"IKEv2,OPENVPN"
216.238.106.40,"IKEv2,OPENVPN"
104.248.61.206,OPENVPN
161.35.64.74,"IKEv2,OPENVPN"
202.182.105.242,"IKEv2,OPENVPN"
107.191.61.152,IKEv2
45.55.49.193,"IKEv2,OPENVPN"
167.99.128.172,"IKEv2,OPENVPN"
216.238.123.206,"IKEv2,OPENVPN"
164.90.170.213,"IKEv2,OPENVPN"
216.238.117.229,"IKEv2,OPENVPN"
199.247.15.65,OPENVPN
198.13.49.254,"IKEv2,OPENVPN"
134.209.238.249,"IKEv2,OPENVPN"
155.138.150.60,"IKEv2,OPENVPN"
146.70.74.153,"IKEv2,OPENVPN"
45.63.65.238,"IKEv2,OPENVPN"
65.20.110.249,OPENVPN
104.131.186.43,OPENVPN
159.65.90.18,"IKEv2,OPENVPN"
65.20.101.186,"IKEv2,OPENVPN"
209.38.225.184,"IKEv2,OPENVPN"
143.198.17.162,"IKEv2,OPENVPN"
159.203.162.5,"IKEv2,OPENVPN"
138.197.119.56,"IKEv2,OPENVPN"
104.223.56.39,"IKEv2,OPENVPN"
104.248.30.23,"IKEv2,OPENVPN"
216.238.119.40,"IKEv2,OPENVPN"
107.175.59.21,"IKEv2,OPENVPN"
167.99.138.23,"IKEv2,OPENVPN"
146.190.77.172,"IKEv2,OPENVPN"
134.209.180.191,"IKEv2,OPENVPN"
134.122.109.22,"IKEv2,OPENVPN"
149.28.253.244,"IKEv2,OPENVPN"
138.68.132.203,"IKEv2,OPENVPN"
38.69.225.42,"IKEv2,OPENVPN"
216.238.118.14,"IKEv2,OPENVPN"
164.92.132.132,"IKEv2,OPENVPN"
66.42.94.131,"IKEv2,OPENVPN"
45.76.238.148,IKEv2
148.72.173.222,"IKEv2,OPENVPN"
167.179.92.24,"IKEv2,OPENVPN"
68.183.67.237,"IKEv2,OPENVPN"
164.92.238.77,"IKEv2,OPENVPN"
167.99.210.160,OPENVPN
161.35.91.102,"IKEv2,OPENVPN"
45.76.220.87,"IKEv2,OPENVPN"
216.238.95.150,"IKEv2,OPENVPN"
67.205.175.149,"IKEv2,OPENVPN"
104.156.246.117,"IKEv2,OPENVPN"
206.81.23.37,"IKEv2,OPENVPN"
146.190.141.231,OPENVPN
207.148.91.88,"IKEv2,OPENVPN"
173.205.180.117,"IKEv2,OPENVPN"
216.238.111.95,"IKEv2,OPENVPN"
159.65.115.228,OPENVPN
142.93.13.222,"IKEv2,OPENVPN"
139.59.167.252,"IKEv2,OPENVPN"
167.71.52.48,"IKEv2,OPENVPN"
216.238.123.194,OPENVPN
46.101.221.41,"IKEv2,OPENVPN"
155.138.131.27,"IKEv2,OPENVPN"
108.160.138.25,"IKEv2,OPENVPN"
155.138.229.232,OPENVPN
45.55.80.167,"IKEv2,OPENVPN"
202.182.113.207,"IKEv2,OPENVPN"
66.42.83.119,"IKEv2,OPENVPN"
45.32.56.84,"IKEv2,OPENVPN"
216.128.135.75,"IKEv2,OPENVPN"
104.166.189.245,"IKEv2,OPENVPN"
140.82.52.176,"IKEv2,OPENVPN"
130.195.222.36,"IKEv2,OPENVPN"
134.209.230.237,"IKEv2,OPENVPN"
216.128.180.122,"IKEv2,OPENVPN"
167.179.74.116,"IKEv2,OPENVPN"
216.238.100.249,"IKEv2,OPENVPN"
