IP,Protocols
23.229.0.242,"IKEv2,L2TP,PPTP"
146.70.237.126,"IKEv2,L2TP,PPTP"
102.129.165.199,"IKEv2,L2TP,PPTP"
198.244.177.20,"IKEv1,L2TP,PPTP"
185.149.40.87,"IKEv2,L2TP,PPTP"
199.71.214.171,"IKEv2,L2TP,PPTP"
95.216.28.172,"IKEv2,L2TP,PPTP"
194.54.82.178,"IKEv2,L2TP,PPTP"
103.9.77.27,"IKEv2,L2TP,PPTP"
154.3.34.74,"IKEv2,L2TP,PPTP"
194.247.12.129,"IKEv2,L2TP,PPTP"
156.244.37.75,"IKEv2,L2TP,PPTP"
23.95.79.97,"IKEv2,L2TP,PPTP"
198.46.154.70,"IKEv2,L2TP,PPTP"
38.114.114.122,"IKEv2,L2TP,PPTP"
103.96.117.213,"IKEv2,L2TP,PPTP"
89.163.140.155,"IKEv2,L2TP,PPTP"
62.210.95.58,"IKEv2,L2TP,PPTP"
185.9.16.90,"IKEv2,L2TP,PPTP"
185.91.126.40,"IKEv2,L2TP,PPTP"
37.120.194.34,"IKEv2,L2TP,PPTP"
124.158.117.184,"IKEv2,L2TP,PPTP"
46.16.129.218,"IKEv2,L2TP,PPTP"
37.143.129.199,"IKEv2,L2TP,PPTP"
57.129.19.150,"IKEv2,L2TP,PPTP"
51.161.198.193,"IKEv2,L2TP,PPTP"
185.25.118.207,"IKEv2,L2TP,PPTP"
193.56.135.35,"IKEv2,L2TP,PPTP"
38.60.253.208,"IKEv2,L2TP,PPTP"
51.158.202.44,"IKEv2,L2TP,PPTP"
85.17.73.16,"IKEv2,L2TP,PPTP"
95.168.176.100,"IKEv2,L2TP,PPTP"
23.166.88.105,"IKEv2,L2TP,PPTP"
156.249.201.69,"IKEv2,PPTP"
185.47.254.7,"IKEv2,L2TP,PPTP"
185.155.96.133,"IKEv2,L2TP,PPTP"
5.181.20.228,"IKEv2,L2TP"
54.39.104.179,"IKEv2,L2TP,PPTP"
212.95.43.106,"IKEv2,L2TP,PPTP"
185.47.253.122,"IKEv2,L2TP,PPTP"
185.93.173.247,"IKEv2,L2TP,PPTP"
185.231.233.190,"IKEv2,L2TP,PPTP"
170.130.200.154,"IKEv2,L2TP,PPTP"
156.244.8.56,"IKEv2,L2TP,PPTP"
38.60.190.7,"IKEv2,L2TP,PPTP"
89.36.162.198,"IKEv2,L2TP,PPTP"
108.181.3.221,"IKEv2,PPTP"
108.181.70.33,"IKEv2,L2TP,PPTP"
185.191.206.139,"IKEv2,L2TP,PPTP"
188.132.183.218,"IKEv2,L2TP,PPTP"
45.12.109.197,"IKEv2,PPTP"
45.147.45.120,"IKEv2,L2TP,PPTP"
23.108.191.211,"IKEv2,L2TP,PPTP"
188.214.157.249,"IKEv2,L2TP,PPTP"
154.205.144.137,"IKEv2,L2TP,PPTP"
185.126.237.218,"IKEv2,L2TP,PPTP"
185.104.195.24,"IKEv2,L2TP,PPTP"
185.65.247.64,"IKEv2,L2TP,PPTP"
46.16.131.63,"IKEv2,L2TP,PPTP"
202.131.82.200,"IKEv2,L2TP,PPTP"
88.119.165.154,"IKEv2,L2TP,PPTP"
147.78.1.22,"IKEv2,L2TP,PPTP"
185.233.118.193,"IKEv2,L2TP,PPTP"
95.164.19.24,"IKEv2,L2TP,PPTP"
185.155.97.59,"IKEv2,L2TP,PPTP"
95.130.227.250,"IKEv2,L2TP"
154.90.44.46,"IKEv2,L2TP,PPTP"
38.54.59.41,"IKEv2,L2TP,PPTP"
45.89.54.226,"IKEv2,L2TP,PPTP"
185.90.61.19,"IKEv2,L2TP,PPTP"
108.181.50.67,"IKEv2,L2TP,PPTP"
223.165.5.201,"IKEv2,L2TP,PPTP"
185.25.116.131,"IKEv2,L2TP,PPTP"
82.102.19.106,"IKEv2,L2TP,PPTP"
185.186.77.5,"IKEv2,L2TP,PPTP"
185.215.186.3,"IKEv2,L2TP,PPTP"
109.104.154.56,"IKEv2,L2TP,PPTP"
89.36.162.29,"IKEv2,L2TP,PPTP"
140.235.39.72,"IKEv2,L2TP,PPTP"
185.205.187.34,IKEv2
213.227.149.249,"IKEv2,L2TP,PPTP"
37.157.255.195,"IKEv2,PPTP"
38.54.2.115,"IKEv2,L2TP,PPTP"
154.31.115.77,"IKEv2,L2TP,PPTP"
108.181.67.9,"IKEv2,L2TP,PPTP"
185.213.20.209,"IKEv2,L2TP,PPTP"
213.183.33.131,"IKEv2,L2TP,PPTP"
178.175.137.137,"IKEv2,L2TP,PPTP"
38.54.45.81,"IKEv2,L2TP,PPTP"
108.181.0.145,"IKEv2,L2TP,PPTP"
185.146.0.65,"IKEv2,L2TP,PPTP"
108.181.67.111,"IKEv2,L2TP,PPTP"
86.54.82.230,"IKEv2,L2TP,PPTP"
103.106.231.54,"IKEv2,L2TP,PPTP"
38.54.116.91,"IKEv2,L2TP,PPTP"
91.194.161.117,"IKEv2,L2TP,PPTP"
94.131.113.254,"IKEv2,L2TP,PPTP"
31.40.212.184,"IKEv2,L2TP,PPTP"
45.83.131.68,"IKEv2,L2TP,PPTP"
89.163.210.78,"IKEv2,L2TP,PPTP"
38.180.182.16,"IKEv2,L2TP,PPTP"
31.97.51.90,"IKEv2,L2TP,PPTP"
145.239.232.39,"IKEv2,L2TP,PPTP"
45.88.42.151,"IKEv2,L2TP,PPTP"
185.107.80.250,"IKEv2,L2TP,PPTP"
37.120.193.146,"IKEv2,L2TP,PPTP"
177.54.157.143,"IKEv2,L2TP,PPTP"
154.90.34.39,"IKEv2,L2TP,PPTP"
185.69.153.75,"IKEv2,L2TP,PPTP"
207.244.109.241,"IKEv2,L2TP,PPTP"
193.107.108.2,"IKEv2,L2TP,PPTP"
5.255.103.96,"IKEv2,L2TP,PPTP"
209.205.213.138,"IKEv2,L2TP,PPTP"
156.244.41.251,"IKEv2,L2TP,PPTP"
149.62.186.15,"IKEv2,L2TP,PPTP"
154.90.39.89,"IKEv2,L2TP,PPTP"
163.172.52.65,"IKEv2,L2TP,PPTP"
87.117.234.101,"IKEv2,L2TP,PPTP"
38.180.173.116,"IKEv2,L2TP,PPTP"
15.235.215.98,"IKEv2,L2TP,PPTP"
91.219.236.113,"IKEv2,L2TP,PPTP"
185.192.124.61,PPTP
94.131.104.58,"IKEv2,L2TP,PPTP"
45.15.162.209,"IKEv2,L2TP,PPTP"
103.106.58.89,"IKEv2,L2TP,PPTP"
149.104.76.103,"IKEv2,L2TP,PPTP"
206.53.55.53,"IKEv2,L2TP,PPTP"
38.54.93.55,"IKEv2,L2TP,PPTP"
95.141.35.11,"IKEv2,L2TP,PPTP"
151.115.88.188,"IKEv2,L2TP,PPTP"
88.119.165.57,"IKEv2,L2TP,PPTP"
148.113.16.140,"IKEv2,L2TP,PPTP"
141.95.72.22,"IKEv2,L2TP,PPTP"
91.148.135.58,"IKEv2,L2TP,PPTP"
45.88.42.44,"IKEv2,L2TP,PPTP"
108.181.57.127,"IKEv2,L2TP,PPTP"
51.158.204.123,"IKEv2,PPTP"
37.252.190.198,"IKEv2,L2TP,PPTP"
45.154.206.246,"IKEv2,L2TP,PPTP"
185.47.255.105,"IKEv2,L2TP,PPTP"
108.181.56.177,"IKEv2,L2TP,PPTP"
45.150.64.215,"IKEv2,L2TP,PPTP"
38.180.26.142,"IKEv2,L2TP,PPTP"
109.104.154.211,"IKEv2,PPTP"
93.189.63.107,"IKEv2,L2TP,PPTP"
108.181.50.229,"IKEv2,L2TP,PPTP"
185.223.168.18,"IKEv2,L2TP,PPTP"
217.79.184.68,"IKEv2,L2TP,PPTP"
178.160.194.235,"IKEv2,L2TP,PPTP"
38.60.253.171,"IKEv2,L2TP,PPTP"
51.158.202.126,"IKEv2,L2TP,PPTP"
156.228.192.106,"IKEv2,PPTP"
45.83.141.51,"IKEv2,L2TP,PPTP"
94.131.8.11,"IKEv2,L2TP,PPTP"
5.104.111.209,"IKEv2,PPTP"
177.54.152.242,"IKEv2,L2TP,PPTP"
154.205.150.76,"IKEv2,L2TP,PPTP"
64.176.10.44,"IKEv2,L2TP,PPTP"
188.227.170.2,"IKEv2,L2TP,PPTP"
216.106.176.6,"IKEv2,L2TP,PPTP"
71.19.249.50,"IKEv2,L2TP,PPTP"
37.143.130.248,"IKEv2,L2TP,PPTP"
103.151.40.69,"IKEv2,L2TP,PPTP"
185.201.66.227,"IKEv2,L2TP,PPTP"
198.244.254.77,"IKEv2,L2TP,PPTP"
178.160.211.20,"IKEv2,L2TP,PPTP"
104.206.108.6,"IKEv2,L2TP,PPTP"
38.54.71.109,"IKEv2,L2TP,PPTP"
38.60.244.86,"IKEv2,L2TP,PPTP"
