ip,protocols
173.239.217.17,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
173.239.217.38,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
217.138.193.190,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
31.171.155.4,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
31.171.152.136,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
31.171.152.103,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
185.253.160.136,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
185.253.160.153,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
146.70.38.74,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
146.70.39.147,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
146.70.39.11,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
37.19.223.100,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
37.19.223.222,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
37.19.223.13,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
37.19.223.122,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
37.19.223.37,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
173.239.250.62,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
173.239.250.100,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
173.239.250.35,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
173.239.250.117,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
45.130.141.61,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
45.130.141.82,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
223.252.16.142,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
98.159.36.21,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
98.159.36.10,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
64.64.112.12,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
98.159.40.147,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
181.214.218.206,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
181.214.218.196,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
181.214.218.118,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
181.214.218.124,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
181.214.218.238,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
181.214.218.86,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
181.214.218.245,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
181.214.218.221,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
181.214.218.180,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
181.214.218.147,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
156.146.55.179,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
45.154.153.7,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
188.241.177.133,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
188.241.177.36,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
188.241.177.154,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
188.241.177.124,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
95.181.238.172,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
95.181.238.190,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
45.132.194.5,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
45.132.194.22,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
45.132.194.53,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
5.181.233.71,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
66.56.82.4,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
181.214.153.34,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
84.247.105.120,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
84.247.105.66,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
179.61.197.141,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
84.17.52.68,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
102.129.143.98,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
102.129.143.37,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
84.17.52.54,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP, OPENVPN_LEGACY, OPENVPN_TCP_LEGACY"
146.70.11.8,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
146.70.11.65,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
188.241.80.135,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
154.47.16.139,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
154.47.16.237,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
146.70.10.49,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
146.70.10.7,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
185.253.162.134,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
185.253.162.150,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
138.199.56.236,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
195.181.161.20,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
158.173.154.18,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
158.173.154.134,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
158.173.156.215,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
158.173.154.98,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
181.214.173.241,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
216.24.213.97,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
158.173.156.192,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
158.173.155.213,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP, OPENVPN_LEGACY, OPENVPN_TCP_LEGACY"
158.173.155.235,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
158.173.156.34,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
188.126.94.198,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
188.126.94.241,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
173.244.32.9,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
176.125.228.144,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
176.125.228.164,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
176.125.228.154,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
173.239.220.17,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
165.231.182.136,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
165.231.182.151,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
188.214.122.69,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
188.214.122.60,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
185.93.3.106,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
45.134.213.177,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
37.120.142.164,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
185.253.99.206,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
82.102.26.219,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
146.70.22.74,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
37.120.142.37,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
196.245.54.3,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
146.70.22.42,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
196.245.54.37,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
212.112.19.83,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
188.126.88.10,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
158.173.158.24,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
158.173.157.118,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
158.173.157.89,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
158.173.158.114,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
203.188.183.100,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
158.173.157.15,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
158.173.157.65,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
203.188.183.14,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
191.101.217.167,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
191.101.31.172,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
203.188.182.40,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
203.188.182.85,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
45.133.173.61,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
191.101.209.143,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
45.133.173.52,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
45.133.173.111,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
138.199.63.72,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
45.133.172.139,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
203.188.182.9,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
45.133.172.121,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
95.181.236.131,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
95.181.236.149,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
91.90.120.3,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
91.90.120.28,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
79.127.175.116,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
79.127.175.9,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
173.239.205.9,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
84.17.56.177,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
84.17.56.147,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
84.17.56.48,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
154.47.29.227,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
154.47.29.203,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
86.106.74.246,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
185.189.114.115,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
173.239.201.141,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
149.34.243.90,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
149.34.242.240,"OPENVPN, WIREGUARD, IPSEC, OPENVPN_TCP"
