IP,Protocols
45.154.155.18,"IKEv2,OPENVPN"
98.159.36.7,"IKEv2,OPENVPN"
102.129.252.178,"IKEv2,OPENVPN"
188.213.34.6,"IKEv2,OPENVPN"
45.133.173.103,"IKEv2,OPENVPN"
185.217.71.151,"IKEv2,OPENVPN"
188.213.34.4,"IKEv2,OPENVPN"
173.239.220.13,"IKEv2,OPENVPN"
91.90.122.155,"IKEv2,OPENVPN"
149.34.243.87,"IKEv2,OPENVPN"
37.19.223.121,"IKEv2,OPENVPN"
156.146.49.171,"IKEv2,OPENVPN"
146.70.11.11,"IKEv2,OPENVPN"
84.17.58.49,"IKEv2,OPENVPN"
178.175.130.253,"IKEv2,OPENVPN"
188.126.79.16,"IKEv2,OPENVPN"
45.132.194.15,"IKEv2,OPENVPN"
149.88.26.89,"IKEv2,OPENVPN"
84.252.92.143,"IKEv2,OPENVPN"
181.214.173.235,"IKEv2,OPENVPN"
84.17.56.44,"IKEv2,OPENVPN"
138.199.63.60,"IKEv2,OPENVPN"
84.239.49.15,"IKEv2,OPENVPN"
212.102.55.123,"IKEv2,OPENVPN"
216.24.213.64,"IKEv2,OPENVPN"
212.112.19.93,"IKEv2,OPENVPN"
212.102.41.10,"IKEv2,OPENVPN"
191.101.209.133,"IKEv2,OPENVPN"
181.214.218.197,"IKEv2,OPENVPN"
98.159.40.28,"IKEv2,OPENVPN"
102.129.143.46,"IKEv2,OPENVPN"
181.214.218.236,"IKEv2,OPENVPN"
138.199.63.86,"IKEv2,OPENVPN"
216.24.213.100,"IKEv2,OPENVPN"
64.64.98.12,"IKEv2,OPENVPN"
149.88.26.31,"IKEv2,OPENVPN"
173.239.201.140,"IKEv2,OPENVPN"
146.70.59.178,"IKEv2,OPENVPN"
84.17.52.30,"IKEv2,OPENVPN"
95.181.234.135,"IKEv2,OPENVPN"
217.138.193.183,"IKEv2,OPENVPN"
185.189.114.125,"IKEv2,OPENVPN"
46.246.8.153,"IKEv2,OPENVPN"
185.253.97.243,"IKEv2,OPENVPN"
194.32.122.17,"IKEv2,OPENVPN"
188.213.34.38,"IKEv2,OPENVPN"
91.90.120.11,"IKEv2,OPENVPN"
173.239.201.18,"IKEv2,OPENVPN"
84.17.45.116,"IKEv2,OPENVPN"
185.217.71.150,"IKEv2,OPENVPN"
181.214.218.173,"IKEv2,OPENVPN"
173.244.32.7,"IKEv2,OPENVPN"
45.154.153.10,"IKEv2,OPENVPN"
212.102.55.107,"IKEv2,OPENVPN"
216.24.213.61,"IKEv2,OPENVPN"
37.19.223.2,"IKEv2,OPENVPN"
84.239.14.139,"IKEv2,OPENVPN"
146.70.38.68,"IKEv2,OPENVPN"
188.126.79.9,"IKEv2,OPENVPN"
84.239.14.144,"IKEv2,OPENVPN"
173.244.49.33,"IKEv2,OPENVPN"
212.112.19.7,"IKEv2,OPENVPN"
173.239.217.33,"IKEv2,OPENVPN"
149.102.232.82,"IKEv2,OPENVPN"
185.225.28.11,"IKEv2,OPENVPN"
95.181.232.26,"IKEv2,OPENVPN"
146.70.52.45,"IKEv2,OPENVPN"
154.47.29.214,"IKEv2,OPENVPN"
173.244.56.180,"IKEv2,OPENVPN"
45.133.173.118,"IKEv2,OPENVPN"
